Framework 1,Framework 2,Similarity
TCFD,TNFD,0.6521318356196085
TCFD,IFRS,0.223162354901433
TCFD,TPT,0.08889173832722008
TCFD,BMA,0.19514061798426238
TCFD,MAS,0.2784103788435459
TCFD,ESRS,0.2051142305135727
TCFD,OSFI,0.1666110996156931
TCFD,SBTi,0.1040523499250412
TNFD,IFRS,0.21374623167018095
TNFD,TPT,0.07678758837282658
TNFD,BMA,0.20086695002674154
TNFD,MAS,0.2799379726250966
TNFD,ESRS,0.19106648862361908
TNFD,OSFI,0.18155286461114883
TNFD,SBTi,0.07444835205872853
IFRS,TPT,0.2583204656839371
IFRS,BMA,0.24816494265740568
IFRS,MAS,0.3169849095866084
IFRS,ESRS,0.1901303119957447
IFRS,OSFI,0.1601065108552575
IFRS,SBTi,0.17303023859858513
TPT,BMA,0.21122716888785362
TPT,MAS,0.1905254645156674
TPT,ESRS,0.15190743803977966
TPT,OSFI,0.21526032388210298
TPT,SBTi,0.11344180032610893
BMA,MAS,0.4620742628520185
BMA,ESRS,0.338406809351661
BMA,OSFI,0.3808234611695463
BMA,SBTi,0.18662409552118994
MAS,ESRS,0.30484993010759354
MAS,OSFI,0.2966248672455549
MAS,SBTi,0.1624031588435173
ESRS,OSFI,0.23870150744915009
ESRS,SBTi,0.23410499095916748
OSFI,SBTi,0.1765325665473938
